epoch,ICLs1_F_nodecay_128_00015_008 - valid_map_middle,VC2vision_B_nodecay_016_00015_32 - valid_map_middle,VC2_B_nodecay_128_00015_32 - valid_map_middle
0,0.026918003,0.102569088,0.060843516
1,0.116154917,0.174896747,0.163211465
2,0.293980956,0.214483842,0.283942848
3,0.353941232,0.238913804,0.328281999
4,0.399958968,0.261920124,0.354283094
5,0.451977104,0.264168352,0.38445875
6,0.472313583,0.264532745,0.424756378
7,0.493427068,0.285488814,0.443366259
8,0.518724918,0.290471464,0.427987963
9,0.5324682,0.28478083,0.443739295
10,0.538134634,0.306206405,0.44442597
11,0.558530748,0.305101514,0.446234792
12,0.559962511,0.307406992,0.45366472
13,0.579540491,0.31344831,0.461899251
14,0.573628068,0.309866279,0.469507486
15,0.585392177,0.314768165,0.466662496
16,0.584104061,0.316795647,0.483944535
17,0.599603534,0.31939593,0.476317823
18,0.59017998,0.32365337,0.481445074
19,0.608288646,0.321010798,0.482613057
20,0.600056231,0.326634169,0.481212258
21,0.606818318,0.330987602,0.492165267
22,0.599895,0.318901062,0.489623487
23,0.613524735,0.330560714,0.506565034
24,0.595862806,0.334232032,0.496034533
25,0.607900381,0.324732214,0.497200102
26,0.603180707,0.326799929,0.492750317
27,0.608424544,0.338889092,0.496569991
28,0.61916393,0.338944823,0.506064057
29,0.627644479,0.344627768,0.502360225
30,0.609407067,0.335635483,0.519459844
31,0.6171996,0.340787351,0.505899608
32,0.612781405,0.344359905,0.50704515
33,0.612871885,0.343938529,0.502363384
34,0.616381347,0.338558793,0.507699192
35,0.601820469,0.347030133,0.511861086
36,0.616366923,0.348814726,0.512773335
37,0.620197177,0.352375478,0.522187769
38,0.61157608,0.342656225,0.513102472
39,0.599495709,0.350182563,0.515946329
40,0.605173171,0.351682007,0.509997129
41,0.611472011,0.345111936,0.515295327
42,0.610738933,0.350524306,0.516921997
43,0.597820878,0.351945609,0.5172351
44,0.62241888,0.343610585,0.528764606
45,0.633120716,0.34913373,0.518064201
46,0.60601908,0.351890892,0.521592736
47,0.602101803,0.343050331,0.514730513
48,0.611157119,0.351563722,0.520630181
49,0.622413933,0.352886081,0.523021042
50,0.621962428,0.342838168,0.52424854
51,0.602577209,0.35279876,0.52367425
52,0.61141932,0.350913167,0.522602379
53,0.623176813,0.360447198,0.540948927
54,0.605543256,0.343981564,0.523554444
55,0.613888681,0.355521888,0.526672721
56,0.611424625,0.344467521,0.519510269
57,0.616464376,0.356202543,0.525539637
58,0.61760658,0.355643719,0.526485264
59,0.612347722,0.360727251,0.527531922
60,0.626100838,0.34788385,0.537559927
61,0.623635769,0.358313143,0.526684463
62,0.615643561,0.34648937,0.52954632
63,0.618580759,0.359860241,0.522598803
64,0.606041133,0.360665649,0.52818352
65,0.624108374,0.364113867,0.53034544
66,0.624868989,0.350173444,0.530712426
67,0.615270495,0.361547828,0.541276872
68,0.614156902,0.362358958,0.528723896
69,0.625394046,0.367241234,0.531119823
70,0.601940811,0.352524579,0.530564129
,0.633120716,0.367241234,0.541276872
