epoch,IC,VC_Vision,VC_Proj
0,0.176805317,0.258513629,0.283469141
1,0.349517167,0.312641084,0.397818148
2,0.455551654,0.327660739,0.46240741
3,0.506357491,0.342281908,0.488565832
4,0.550178945,0.359840393,0.513621509
5,0.584644139,0.367570609,0.527346015
6,0.611747384,0.365792394,0.53976202
7,0.628606677,0.380515277,0.542487144
8,0.636328578,0.386342198,0.551691592
9,0.647271097,0.379596889,0.550643027
10,0.655536473,0.393485129,0.551548779
11,0.666839898,0.39583987,0.554690123
12,0.678887069,0.400237411,0.559370697
13,0.678410053,0.402059227,0.565269113
14,0.683023214,0.399925232,0.564767599
15,0.694709778,0.410114139,0.568503916
16,0.691568375,0.409503818,0.567299306
17,0.696993411,0.41131717,0.565562844
18,0.69525218,0.413776517,0.569393516
19,0.693781614,0.419197589,0.571389377
20,0.697756827,0.419320345,0.575849891
21,0.705210268,0.419594675,0.576128483
22,0.701360106,0.423514098,0.575893521
23,0.701939702,0.424030572,0.574873209
24,0.706134915,0.423989564,0.572860539
25,0.699455917,0.427493155,0.577593148
26,0.703361869,0.425810099,0.577614784
27,0.700514436,0.425135404,0.581547379
28,0.70696032,0.426642299,0.582236707
29,0.701906323,0.436266541,0.580788195
30,0.702158988,0.434429944,0.578837037
31,0.71047008,0.430405319,0.5775491
32,0.700130701,0.433221966,0.582901955
33,0.705162048,0.443714678,0.581960142
34,0.704738498,0.439626753,0.585247278
35,0.710926473,0.435624331,0.585660279
36,0.707179368,0.437222719,0.584211349
37,0.701928556,0.44542715,0.582356632
38,0.706062198,0.439379662,0.580995917
39,0.712936223,0.436374128,0.585995853
40,0.704853594,0.440552384,0.584661484
41,0.698520541,0.441366911,0.587542474
42,0.701460004,0.437039614,0.588262558
43,0.704990864,0.440938056,0.58728236
44,0.699149668,0.444538563,0.584517419
45,0.701423645,0.437800348,0.582925141
46,0.705804765,0.444892108,0.58807236
47,0.7042436,0.446476251,0.586607516
48,0.710493624,0.438153177,0.589664578
49,0.707217038,0.442938954,0.590310156
50,0.7056216,0.445338815,0.588873446
51,0.702469826,0.438385904,0.589263976
52,0.706322849,0.444617033,0.589595675
53,0.702135623,0.455110997,0.586735547
54,0.702314198,0.445738316,0.585180819
55,0.707729459,0.441257089,0.590039432
56,0.706768513,0.447100908,0.588633597
57,0.707653344,0.439555824,0.591251254
58,0.703149378,0.448006272,0.591778457
59,0.708670378,0.457546175,0.591758251
60,0.708751023,0.448696107,0.588310778
61,0.709531188,0.441982359,0.586633921
62,0.711289108,0.446912646,0.591202199
63,0.707927287,0.441664338,0.589826941
64,0.707299054,0.450255871,0.59261483
65,0.715399146,0.45956403,0.592819989
66,0.709496558,0.448863328,0.593106687
67,0.707121134,0.444942713,0.589594543
68,0.717222095,0.450474203,0.587632477
69,0.705224514,0.462307036,0.592196167
70,0.712412357,0.446984738,0.592741251
71,0.70891726,0.445410222,0.593129456
72,0.710672021,0.451596946,0.59368068
73,0.707271218,0.461203992,0.590529978
74,0.705797553,0.452424616,0.588396966
75,0.708550453,0.448380589,0.592522562
76,0.710509241,0.451200426,0.591730475
77,0.703999698,0.462386876,0.594297647
78,0.706827581,0.452892482,0.594591081
79,0.711623251,0.448128879,0.594823718
80,0.71392566,0.450006306,0.591724753
,0.717222095,0.462386876,0.594823718
