epoch,IC,AFRICAN-AR
0,0.006728038,0.005632963
1,0.01483307,0.0256717
2,0.067099556,0.065119959
3,0.121429726,0.131485835
4,0.200611159,0.195035234
5,0.257459968,0.229093149
6,0.278785765,0.28345409
7,0.307701886,0.329131007
8,0.342332006,0.351115972
9,0.363409728,0.374105483
10,0.382068872,0.395751953
11,0.431229711,0.432339668
12,0.452455968,0.422939479
13,0.427079201,0.449965209
14,0.447648138,0.459035248
15,0.467694968,0.464259177
16,0.456814796,0.450805962
17,0.476202607,0.475368559
18,0.465144396,0.484877795
19,0.462361664,0.479684144
20,0.461570829,0.464969128
21,0.477261633,0.480164796
22,0.470362157,0.484793395
23,0.490748465,0.474629968
24,0.486475348,0.48326394
25,0.462074369,0.480824739
26,0.460522979,0.469474226
27,0.469103128,0.472244412
28,0.484723181,0.467085302
29,0.485440493,0.47386077
30,0.481610626,0.479886532
31,0.483678371,0.471601218
32,0.4733105,0.4692128
33,0.471365184,0.467431873
34,0.468465418,0.485441238
35,0.454762936,0.472836107
36,0.472479165,0.470908642
37,0.445409298,0.464564949
38,0.489682287,0.477014899
39,0.461021334,0.46553877
40,0.457889706,0.462092072
41,0.46666041,0.474235266
42,0.442563325,0.474558085
43,0.434517622,0.461728841
44,0.467713475,0.470793754
45,0.473027557,0.466428608
46,0.462706596,0.458964139
47,0.457460612,0.453478307
48,0.470818698,0.47754091
49,0.480180621,0.459636092
50,0.459725052,0.456195325
51,0.458167613,
52,0.462323993,
53,0.478138775,
54,0.473364472,
55,0.474773169,
56,0.457981259,
57,0.462997347,
58,0.460657716,
59,0.468421936,
60,0.477569312,
61,0.481596291,
62,0.4840509,
63,0.45938167,
64,0.471285969,
65,0.456044674,
66,0.474133521,
67,0.461164027,
68,0.453575999,
69,0.467597634,
70,0.471750468,
