epoch,IC,VC_Vision,VC_Proj
0,0.005484908,0.019012721,0.007164874
1,0.010734157,0.051016409,0.026000367
2,0.062973492,0.052595258,0.066319764
3,0.117652521,0.071987003,0.119152255
4,0.16896975,0.072614565,0.164186001
5,0.201738387,0.091263086,0.196644723
6,0.22758399,0.096276201,0.220416829
7,0.261742651,0.099072635,0.24290888
8,0.286965907,0.107136741,0.246305257
9,0.328039646,0.118547946,0.264975965
10,0.357725471,0.099291734,0.277342349
11,0.355790585,0.114489168,0.283975184
12,0.408376813,0.116313748,0.288895279
13,0.397635013,0.108784243,0.309744358
14,0.397242606,0.125836343,0.321062058
15,0.431938916,0.119368516,0.335369736
16,0.435255259,0.148310736,0.3501122
17,0.450864643,0.138980657,0.359443754
18,0.459045023,0.144206077,0.36395663
19,0.453132123,0.151954249,0.370805681
20,0.449978918,0.138194412,0.390999347
21,0.446406573,0.148158625,0.385505855
22,0.451961994,0.152658477,0.381464213
23,0.438130558,0.16249305,0.394423604
24,0.464973271,0.163777724,0.40091902
25,0.450645626,0.150933459,0.404929161
26,0.452203363,0.151126489,0.421275854
27,0.45508641,0.156546697,0.414836973
28,0.439033747,0.168478087,0.408615619
29,0.455583185,0.137746558,0.421030223
30,0.45180285,0.143998459,0.427898794
31,0.468614995,0.167584971,0.43310675
32,0.460478991,0.179071516,0.432406992
33,0.454924166,0.148825496,0.433167934
34,0.463742256,0.153429955,0.427446216
35,0.439129859,0.172559485,0.429923922
36,0.423892468,0.179513261,0.4352853
37,0.455278248,0.151764572,0.442156374
38,0.436568707,0.156728491,0.442055821
39,0.490725666,0.173913702,0.438510746
40,0.481519073,0.182381555,0.437879175
41,0.463019252,0.16448985,0.434974819
42,0.471591145,0.185117871,0.43736729
43,0.467273295,0.185066342,0.446050018
44,0.458110809,0.169342488,0.446193933
45,0.45141384,0.178911254,0.444229037
46,0.436769009,0.189373374,0.447522491
47,0.478760481,0.168813318,0.437828541
48,0.458956033,0.181787655,0.43517068
49,0.438384414,0.19024165,0.443176776
50,0.458790898,0.178337127,0.437216073
51,0.462928593,0.180842131,0.441428095
52,0.448717654,0.189827159,0.447315723
53,0.477611691,0.159839243,0.450574011
54,0.455126792,0.172400564,0.452297449
55,0.465395033,0.183142513,0.451770365
56,0.4402529,0.180138484,0.443894863
57,0.449816614,0.183019683,0.438167483
58,0.459638953,0.19194591,0.446567029
59,0.456960857,0.162510037,0.450637102
60,0.470654428,0.176190466,0.452528417
61,0.458119631,0.187156931,0.453147739
62,0.466487288,0.175230816,0.457425714
63,0.467869997,0.186114311,0.447805464
64,0.47207278,0.188945472,0.443067282
65,0.43654561,0.168887928,0.451911539
66,0.44830355,0.179272071,0.455557078
67,0.441580117,0.185783759,0.457979977
68,0.458853632,0.197765395,0.456311405
69,0.460992426,0.183825031,0.457769334
70,0.46621263,0.193917289,0.450995177
71,0.465523422,0.193397194,0.453023553
72,0.474411666,0.197755039,0.45743981
73,0.461456031,0.17770198,0.460030735
74,0.465544671,0.189388707,0.457099736
75,0.466671139,0.189930812,0.454063386
76,0.468369901,0.197079569,0.454921484
77,0.472574025,0.18881841,0.450025409
78,0.460598886,0.198968768,0.455693841
79,0.475249201,0.197421506,0.45864135
80,0.475825459,0.199986771,0.460274875
,0.490725666,0.199986771,0.460274875
