epoch,Accuracy
0,0.705534697
1,0.735050321
2,0.752299309
3,0.760214567
4,0.747989416
5,0.761326909
6,0.763407111
7,0.767612636
8,0.771393061
9,0.76975739
10,0.781281412
11,0.777274549
12,0.770062029
13,0.779427886
14,0.778199792
15,0.769157767
16,0.767603159
17,0.771927118
18,0.765127063
19,0.767610669
20,0.773180962
21,0.779436946
22,0.781600416
23,0.777487874
24,0.776642799
25,0.77387023
26,0.773471832
27,0.775229812
28,0.783530951
29,0.787357569
30,0.783793151
31,0.778511167
32,0.779342651
33,0.775716603
34,0.777175665
35,0.779825807
36,0.782434165
37,0.779122353
38,0.777895808
39,0.782808602
40,0.780035138
41,0.77965796
42,0.785605907
43,0.782833219
44,0.774993896
45,0.780557632
46,0.781981707
47,0.775610924
48,0.770785809
49,0.78488791
50,0.78186965
51,0.775209665
52,0.772236407
53,0.777471244
