epoch,IC,VC_Vision,VC_Proj
0,0.03493451,0.070151694,0.056407817
1,0.080231436,0.114324674,0.107102916
2,0.168744892,0.126381725,0.169032842
3,0.223671377,0.146285355,0.216355324
4,0.291696817,0.154289365,0.254368812
5,0.342084259,0.167731434,0.283798456
6,0.363302588,0.170773968,0.30982402
7,0.389245301,0.17931354,0.328783661
8,0.418915033,0.186374545,0.328670353
9,0.437287807,0.191450194,0.344034821
10,0.452913225,0.185920194,0.352200091
11,0.489479899,0.195675954,0.357264042
12,0.50498122,0.197954729,0.362725198
13,0.494063854,0.194775835,0.378692508
14,0.506407976,0.204547986,0.38758108
15,0.523465931,0.202906042,0.396556914
16,0.515935779,0.221746519,0.40974462
17,0.533098578,0.216632321,0.413722306
18,0.523816705,0.221266448,0.418284148
19,0.525448501,0.226330429,0.423186302
20,0.52492857,0.218855008,0.436342955
21,0.535902739,0.226240918,0.435377568
22,0.530862391,0.226875648,0.432187974
23,0.547564983,0.235879675,0.444185317
24,0.53972739,0.237531871,0.445654064
25,0.526769102,0.227639601,0.449111402
26,0.525068998,0.228009567,0.458524078
27,0.532060564,0.23413676,0.455815971
28,0.543919027,0.241960987,0.454108268
29,0.54792279,0.224946514,0.460986555
30,0.540591836,0.226634756,0.46901077
31,0.544004321,0.242315769,0.46906355
32,0.535729289,0.250834674,0.469595373
33,0.534788013,0.232852235,0.468885511
34,0.533503771,0.234013259,0.466894686
35,0.520509601,0.247612655,0.469480574
36,0.535391688,0.252669215,0.472914398
37,0.520262539,0.236882523,0.479198217
38,0.54673034,0.237019613,0.476877332
39,0.524762452,0.249296576,0.475934952
40,0.523302078,0.255599022,0.47399509
41,0.530844152,0.242796555,0.473738134
42,0.515893817,0.256609648,0.475731909
43,0.507652879,0.257423162,0.481209993
44,0.535146654,0.245973274,0.483564347
45,0.542278886,0.252435386,0.47965464
46,0.527999818,0.260686964,0.483249992
47,0.52415216,0.245767221,0.475304127
48,0.532473803,0.254872054,0.475365371
49,0.542340457,0.261206567,0.481103957
50,0.529773593,0.251640737,0.47739023
51,0.524204671,0.254582167,0.479997754
52,0.528544068,0.260716289,0.483552516
53,0.543110609,0.245171919,0.489437163
54,0.534182072,0.24816899,0.486356288
55,0.537336588,0.257055521,0.487382472
56,0.524841547,0.253397554,0.480535865
57,0.53007549,0.25690487,0.478610128
58,0.529892683,0.263601542,0.484253794
59,0.533348501,0.247265235,0.487086028
60,0.542217076,0.251873165,0.490120649
61,0.54539597,0.260350317,0.48780781
62,0.543689609,0.250703961,0.491801292
63,0.528665066,0.259996057,0.483895004
64,0.532515645,0.263135701,0.482521474
65,0.528816104,0.252376467,0.488683403
66,0.540280581,0.254383832,0.49113068
67,0.529722691,0.260609418,0.494618207
68,0.525508881,0.26917693,0.490424931
69,0.5369187,0.262984604,0.492512792
70,0.534005821,0.264009863,0.488138318
